"Timestamp","MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB VCPU","CPU Package","CPU Load","GPU #1 Fan","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Temp #3","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
"2025-09-22T14:40:59.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1792RPM","31.50°C","140W","125W","90W","11.90V","5.00V","3.30V","7.00A","8.40A","0.00A","83W","42W","0W"
"2025-09-22T14:41:00.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1800RPM","31.50°C","158W","143W","91W","11.90V","5.00V","3.30V","8.50A","8.40A","0.00A","101W","42W","0W"
"2025-09-22T14:41:01.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1800RPM","31.50°C","158W","143W","91W","11.90V","5.00V","3.30V","8.50A","8.40A","0.00A","101W","42W","0W"
"2025-09-22T14:41:02.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1800RPM","31.50°C","134W","119W","89W","11.90V","5.00V","3.30V","6.50A","8.40A","0.00A","77W","42W","0W"
"2025-09-22T14:41:03.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","31.50°C","139W","125W","90W","11.90V","5.10V","3.30V","7.00A","8.10A","0.00A","83W","41W","0W"
"2025-09-22T14:41:04.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","31.50°C","139W","125W","90W","11.90V","5.10V","3.30V","7.00A","8.10A","0.00A","83W","41W","0W"
"2025-09-22T14:41:05.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1800RPM","31.50°C","140W","126W","90W","11.90V","5.10V","3.30V","7.00A","8.30A","0.00A","83W","42W","0W"
"2025-09-22T14:41:06.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","31.50°C","146W","131W","90W","11.90V","5.00V","3.30V","7.50A","8.40A","0.00A","89W","42W","0W"
"2025-09-22T14:41:07.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","60.63°C","39%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","31.50°C","146W","131W","90W","11.90V","5.00V","3.30V","7.50A","8.40A","0.00A","89W","42W","0W"
"2025-09-22T14:41:08.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","59.38°C","55%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","31.50°C","158W","143W","91W","11.90V","5.10V","3.30V","8.50A","8.30A","0.00A","101W","42W","0W"
"2025-09-22T14:41:09.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","59.38°C","55%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","31.50°C","146W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T14:41:10.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","59.38°C","55%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","31.50°C","146W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T14:41:11.000Z","738RPM","1272RPM","3629RPM","736RPM","730RPM","42.00°C","61.00°C","42.00°C","49.00°C","53.40°C","1.14V","59.38°C","55%","0RPM","44.00°C","38.00°C","32.00°C","0%","5%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","31.50°C","121W","107W","89W","11.90V","5.00V","3.30V","5.50A","8.40A","0.00A","65W","42W","0W"
