"Timestamp","MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB VCPU","CPU Package","CPU Load","GPU #1 Fan","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Temp #3","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
"2025-09-22T11:54:45.000Z","1488RPM","1769RPM","4179RPM","540RPM","1045RPM","34.00°C","59.00°C","35.00°C","41.00°C","45.00°C","1.12V","60.25°C","42%","1561RPM","38.00°C","32.00°C","26.00°C","0%","10%","0%","38.00°C","42.00°C","0%","0%","0%","1792RPM","29.00°C","146W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T11:54:46.000Z","1488RPM","1769RPM","4179RPM","540RPM","1045RPM","34.00°C","59.00°C","35.00°C","41.00°C","45.00°C","1.12V","60.25°C","42%","1561RPM","38.00°C","32.00°C","26.00°C","0%","10%","0%","38.00°C","42.00°C","0%","0%","0%","1792RPM","29.00°C","114W","100W","88W","11.90V","5.00V","3.30V","5.00A","8.10A","0.00A","60W","41W","0W"
"2025-09-22T11:54:47.000Z","1490RPM","1753RPM","4179RPM","534RPM","1047RPM","34.00°C","58.50°C","35.00°C","41.00°C","45.00°C","1.16V","59.50°C","25%","1561RPM","36.00°C","32.00°C","26.00°C","0%","10%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","29.00°C","1157W","1058W","91W","11.90V","5.10V","4.00V","8.00A","8.30A","230.00A","95W","42W","920W"
"2025-09-22T11:54:48.000Z","1490RPM","1753RPM","4179RPM","534RPM","1047RPM","34.00°C","58.50°C","35.00°C","41.00°C","45.00°C","1.16V","58.75°C","49%","1561RPM","36.00°C","32.00°C","26.00°C","0%","10%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","29.00°C","1157W","1058W","91W","11.90V","5.10V","4.00V","8.00A","8.30A","230.00A","95W","42W","920W"
"2025-09-22T11:54:49.000Z","1490RPM","1753RPM","4179RPM","534RPM","1047RPM","34.00°C","58.50°C","35.00°C","41.00°C","45.00°C","1.16V","58.75°C","49%","1561RPM","36.00°C","32.00°C","26.00°C","0%","10%","0%","38.00°C","42.00°C","0%","0%","0%","1784RPM","29.00°C","171W","156W","91W","11.90V","5.10V","3.30V","9.50A","8.40A","0.00A","113W","43W","0W"
"2025-09-22T11:54:50.000Z","1490RPM","1753RPM","4179RPM","534RPM","1047RPM","34.00°C","58.50°C","35.00°C","41.00°C","45.00°C","1.16V","59.00°C","51%","1561RPM","36.00°C","32.00°C","26.00°C","0%","10%","0%","38.00°C","42.00°C","0%","0%","0%","1784RPM","29.00°C","146W","132W","90W","11.90V","5.10V","37.00V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T11:54:51.000Z","1468RPM","1721RPM","4166RPM","552RPM","1031RPM","34.00°C","62.00°C","35.00°C","41.00°C","45.00°C","1.13V","58.50°C","49%","1561RPM","38.00°C","32.00°C","26.00°C","7%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1784RPM","29.00°C","146W","132W","90W","11.90V","5.10V","37.00V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T11:54:52.000Z","1468RPM","1721RPM","4166RPM","552RPM","1031RPM","34.00°C","62.00°C","35.00°C","41.00°C","45.00°C","1.13V","58.50°C","49%","1561RPM","38.00°C","32.00°C","26.00°C","7%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1784RPM","29.00°C","145W","131W","90W","11.90V","5.10V","3.30V","7.50A","8.10A","0.00A","89W","41W","0W"
"2025-09-22T11:54:53.000Z","1468RPM","1721RPM","4166RPM","552RPM","1031RPM","34.00°C","62.00°C","35.00°C","41.00°C","45.00°C","1.13V","66.38°C","47%","1561RPM","38.00°C","32.00°C","26.00°C","7%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1792RPM","29.00°C","8559W","6045W","71W","11.90V","5.10V","3.30V","7.50A","8.30A","1792.00A","89W","42W","5914W"
"2025-09-22T11:54:54.000Z","1468RPM","1721RPM","4166RPM","552RPM","1031RPM","34.00°C","62.00°C","35.00°C","41.00°C","45.00°C","1.13V","67.88°C","41%","1561RPM","38.00°C","32.00°C","26.00°C","7%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1792RPM","29.00°C","8559W","6045W","71W","11.90V","5.10V","3.30V","7.50A","8.30A","1792.00A","89W","42W","5914W"
