"Timestamp","MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB VCPU","CPU Package","CPU Load","GPU #1 Fan","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Temp #3","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
"2025-09-22T19:01:19.000Z","1398RPM","1695RPM","4153RPM","532RPM","1040RPM","32.00°C","58.00°C","29.00°C","36.00°C","40.00°C","1.34V","60.75°C","9%","1562RPM","36.00°C","30.00°C","24.00°C","4%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1776RPM","27.50°C","121W","107W","89W","11.90V","5.00V","3.30V","5.50A","8.30A","0.00A","65W","42W","0W"
"2025-09-22T19:01:20.000Z","1445RPM","1542RPM","4141RPM","527RPM","1025RPM","32.00°C","60.50°C","29.00°C","36.00°C","40.00°C","1.17V","60.50°C","14%","1552RPM","34.00°C","30.00°C","24.00°C","0%","9%","0%","37.00°C","40.00°C","0%","0%","0%","1776RPM","27.50°C","121W","107W","89W","11.90V","5.00V","3.30V","5.50A","8.30A","0.00A","65W","42W","0W"
"2025-09-22T19:01:21.000Z","1445RPM","1542RPM","4141RPM","527RPM","1025RPM","32.00°C","60.50°C","29.00°C","36.00°C","40.00°C","1.17V","60.50°C","14%","1552RPM","34.00°C","30.00°C","24.00°C","0%","9%","0%","37.00°C","40.00°C","0%","0%","0%","1776RPM","27.50°C","121W","107W","89W","11.90V","5.00V","3.30V","5.50A","8.30A","0.00A","65W","42W","0W"
"2025-09-22T19:01:22.000Z","1445RPM","1542RPM","4141RPM","527RPM","1025RPM","32.00°C","60.50°C","29.00°C","36.00°C","40.00°C","1.17V","60.25°C","26%","1552RPM","34.00°C","30.00°C","24.00°C","0%","9%","0%","37.00°C","40.00°C","0%","0%","0%","230RPM","2.00°C","26461W","12600W","48W","104.00V","72.00V","41.00V","27.50A","112.50A","40.00A","2860W","8100W","1640W"
"2025-09-22T19:01:23.000Z","1445RPM","1542RPM","4141RPM","527RPM","1025RPM","32.00°C","60.50°C","29.00°C","36.00°C","40.00°C","1.17V","60.63°C","17%","1552RPM","34.00°C","30.00°C","24.00°C","0%","9%","0%","37.00°C","40.00°C","0%","0%","0%","1784RPM","27.50°C","125W","111W","89W","11.90V","5.00V","3.30V","6.00A","8.00A","0.00A","71W","40W","0W"
"2025-09-22T19:01:24.000Z","1445RPM","1542RPM","4141RPM","527RPM","1025RPM","32.00°C","60.50°C","29.00°C","36.00°C","40.00°C","1.17V","60.63°C","17%","1552RPM","34.00°C","30.00°C","24.00°C","0%","9%","0%","37.00°C","40.00°C","0%","0%","0%","1784RPM","27.50°C","125W","111W","89W","11.90V","5.00V","3.30V","6.00A","8.00A","0.00A","71W","40W","0W"
"2025-09-22T19:01:25.000Z","1169RPM","1211RPM","4141RPM","521RPM","1042RPM","32.00°C","70.00°C","29.00°C","36.00°C","40.00°C","1.14V","61.00°C","18%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","0RPM","27.50°C","125W","111W","89W","11.90V","5.00V","3.30V","6.00A","8.00A","0.00A","71W","40W","0W"
"2025-09-22T19:01:26.000Z","1169RPM","1211RPM","4141RPM","521RPM","1042RPM","32.00°C","70.00°C","29.00°C","36.00°C","40.00°C","1.14V","76.63°C","66%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1760RPM","27.50°C","139W","125W","90W","11.90V","5.00V","3.30V","7.00A","8.30A","0.00A","83W","42W","0W"
"2025-09-22T19:01:27.000Z","1169RPM","1211RPM","4141RPM","521RPM","1042RPM","32.00°C","70.00°C","29.00°C","36.00°C","40.00°C","1.14V","76.63°C","66%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1760RPM","27.50°C","139W","125W","90W","11.90V","5.00V","3.30V","7.00A","8.30A","0.00A","83W","42W","0W"
"2025-09-22T19:01:28.000Z","1169RPM","1211RPM","4141RPM","521RPM","1042RPM","32.00°C","70.00°C","29.00°C","36.00°C","40.00°C","1.14V","76.88°C","67%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1776RPM","27.50°C","134W","120W","89W","11.90V","5.10V","3.30V","6.50A","8.40A","0.00A","77W","43W","0W"
"2025-09-22T19:01:29.000Z","1169RPM","1248RPM","4128RPM","525RPM","1023RPM","32.00°C","76.50°C","30.00°C","36.00°C","40.00°C","1.14V","76.63°C","63%","1582RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1776RPM","27.50°C","134W","120W","89W","11.90V","5.10V","3.30V","6.50A","8.40A","0.00A","77W","43W","0W"
"2025-09-22T19:01:30.000Z","1169RPM","1248RPM","4128RPM","525RPM","1023RPM","32.00°C","76.50°C","30.00°C","36.00°C","40.00°C","1.14V","76.63°C","63%","1582RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1768RPM","27.50°C","139W","125W","90W","11.90V","5.00V","3.30V","7.00A","8.30A","0.00A","83W","42W","0W"
"2025-09-22T19:01:31.000Z","1169RPM","1248RPM","4128RPM","525RPM","1023RPM","32.00°C","76.50°C","30.00°C","36.00°C","40.00°C","1.14V","77.38°C","62%","1582RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1768RPM","27.50°C","133W","119W","89W","11.90V","5.10V","3.30V","6.50A","8.10A","0.00A","77W","41W","0W"
"2025-09-22T19:01:32.000Z","1169RPM","1248RPM","4128RPM","525RPM","1023RPM","32.00°C","76.50°C","30.00°C","36.00°C","40.00°C","1.14V","76.75°C","60%","1582RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1768RPM","27.50°C","133W","119W","89W","11.90V","5.10V","3.30V","6.50A","8.10A","0.00A","77W","41W","0W"
"2025-09-22T19:01:33.000Z","1169RPM","1248RPM","4128RPM","525RPM","1023RPM","32.00°C","76.50°C","30.00°C","36.00°C","40.00°C","1.14V","76.75°C","60%","1582RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1760RPM","27.50°C","134W","120W","89W","11.90V","5.10V","3.30V","6.50A","8.30A","0.00A","77W","42W","0W"
"2025-09-22T19:01:34.000Z","1264RPM","1416RPM","4153RPM","529RPM","1042RPM","32.00°C","78.00°C","30.00°C","36.00°C","40.00°C","1.11V","77.13°C","60%","1564RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1760RPM","27.50°C","138W","124W","90W","11.90V","5.00V","3.30V","7.00A","8.10A","0.00A","83W","41W","0W"
"2025-09-22T19:01:35.000Z","1264RPM","1416RPM","4153RPM","529RPM","1042RPM","32.00°C","78.00°C","30.00°C","36.00°C","40.00°C","1.11V","83.63°C","53%","1564RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1760RPM","27.50°C","138W","124W","90W","11.90V","5.00V","3.30V","7.00A","8.10A","0.00A","83W","41W","0W"
"2025-09-22T19:01:36.000Z","1264RPM","1416RPM","4153RPM","529RPM","1042RPM","32.00°C","78.00°C","30.00°C","36.00°C","40.00°C","1.11V","83.63°C","53%","1564RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1776RPM","27.50°C","132W","118W","89W","11.90V","5.00V","3.30V","6.50A","8.10A","0.00A","77W","41W","0W"
"2025-09-22T19:01:37.000Z","1264RPM","1416RPM","4153RPM","529RPM","1042RPM","32.00°C","78.00°C","30.00°C","36.00°C","40.00°C","1.11V","83.88°C","29%","1564RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1776RPM","27.50°C","119W","105W","88W","11.90V","5.00V","3.30V","5.50A","8.00A","0.00A","65W","40W","0W"
"2025-09-22T19:01:38.000Z","1386RPM","1636RPM","4141RPM","526RPM","1027RPM","32.00°C","78.50°C","30.00°C","36.00°C","40.00°C","1.09V","81.25°C","22%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1776RPM","27.50°C","119W","105W","88W","11.90V","5.00V","3.30V","5.50A","8.00A","0.00A","65W","40W","0W"
"2025-09-22T19:01:39.000Z","1386RPM","1636RPM","4141RPM","526RPM","1027RPM","32.00°C","78.50°C","30.00°C","36.00°C","40.00°C","1.09V","81.25°C","22%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1784RPM","27.50°C","113W","100W","88W","11.90V","5.00V","3.30V","5.00A","8.00A","0.00A","60W","40W","0W"
"2025-09-22T19:01:40.000Z","1386RPM","1636RPM","4141RPM","526RPM","1027RPM","32.00°C","78.50°C","30.00°C","36.00°C","40.00°C","1.09V","76.50°C","8%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1784RPM","27.50°C","118W","104W","88W","11.90V","5.00V","3.30V","5.00A","8.00A","1.40A","60W","40W","5W"
"2025-09-22T19:01:41.000Z","1386RPM","1636RPM","4141RPM","526RPM","1027RPM","32.00°C","78.50°C","30.00°C","36.00°C","40.00°C","1.09V","74.38°C","9%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1784RPM","27.50°C","118W","104W","88W","11.90V","5.00V","3.30V","5.00A","8.00A","1.40A","60W","40W","5W"
"2025-09-22T19:01:42.000Z","1386RPM","1636RPM","4141RPM","526RPM","1027RPM","32.00°C","78.50°C","30.00°C","36.00°C","40.00°C","1.09V","74.38°C","9%","1561RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","37.00°C","41.00°C","0%","0%","0%","1760RPM","27.50°C","113W","100W","88W","11.90V","5.10V","3.30V","5.00A","7.90A","0.00A","60W","40W","0W"
"2025-09-22T19:01:43.000Z","1490RPM","1809RPM","4115RPM","536RPM","1027RPM","32.00°C","70.50°C","30.00°C","36.00°C","40.00°C","1.13V","71.13°C","17%","1557RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1776RPM","27.50°C","120W","106W","88W","11.90V","5.00V","3.30V","5.50A","8.10A","0.00A","65W","41W","0W"
"2025-09-22T19:01:44.000Z","1490RPM","1809RPM","4115RPM","536RPM","1027RPM","32.00°C","70.50°C","30.00°C","36.00°C","40.00°C","1.13V","69.88°C","16%","1557RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1776RPM","27.50°C","120W","106W","88W","11.90V","5.00V","3.30V","5.50A","8.10A","0.00A","65W","41W","0W"
"2025-09-22T19:01:45.000Z","1490RPM","1809RPM","4115RPM","536RPM","1027RPM","32.00°C","70.50°C","30.00°C","36.00°C","40.00°C","1.13V","69.88°C","16%","1557RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1784RPM","27.50°C","107W","93W","87W","11.90V","5.00V","3.30V","4.50A","7.90A","0.00A","54W","40W","0W"
"2025-09-22T19:01:46.000Z","1490RPM","1809RPM","4115RPM","536RPM","1027RPM","32.00°C","70.50°C","30.00°C","36.00°C","40.00°C","1.13V","68.25°C","9%","1557RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1768RPM","27.50°C","107W","93W","87W","11.90V","5.00V","3.30V","4.50A","7.90A","0.00A","54W","40W","0W"
"2025-09-22T19:01:47.000Z","1605RPM","1898RPM","4153RPM","532RPM","1026RPM","32.00°C","67.00°C","30.00°C","36.00°C","40.00°C","1.10V","67.63°C","9%","1552RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","36.00°C","40.00°C","0%","0%","0%","1768RPM","27.50°C","107W","93W","87W","11.90V","5.00V","3.30V","4.50A","7.90A","0.00A","54W","40W","0W"
"2025-09-22T19:01:48.000Z","1605RPM","1898RPM","4153RPM","532RPM","1026RPM","32.00°C","67.00°C","30.00°C","36.00°C","40.00°C","1.10V","67.63°C","9%","1552RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","36.00°C","40.00°C","0%","0%","0%","1768RPM","27.50°C","236W","218W","92W","11.90V","5.00V","3.30V","5.00A","8.00A","36.00A","60W","40W","119W"
"2025-09-22T19:01:49.000Z","1605RPM","1898RPM","4153RPM","532RPM","1026RPM","32.00°C","67.00°C","30.00°C","36.00°C","40.00°C","1.10V","66.63°C","11%","1552RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","36.00°C","40.00°C","0%","0%","0%","1760RPM","27.50°C","107W","93W","87W","11.90V","5.00V","3.30V","4.50A","7.90A","0.00A","54W","40W","0W"
"2025-09-22T19:01:50.000Z","1605RPM","1898RPM","4153RPM","532RPM","1026RPM","32.00°C","67.00°C","30.00°C","36.00°C","40.00°C","1.10V","65.75°C","13%","1552RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","36.00°C","40.00°C","0%","0%","0%","1760RPM","27.50°C","107W","93W","87W","11.90V","5.00V","3.30V","4.50A","7.90A","0.00A","54W","40W","0W"
"2025-09-22T19:01:51.000Z","1605RPM","1898RPM","4153RPM","532RPM","1026RPM","32.00°C","67.00°C","30.00°C","36.00°C","40.00°C","1.10V","65.75°C","13%","1552RPM","34.00°C","29.00°C","24.00°C","0%","10%","0%","36.00°C","40.00°C","0%","0%","0%","1760RPM","27.50°C","120W","106W","88W","11.90V","5.10V","5.50V","5.50A","8.00A","0.00A","65W","41W","0W"
"2025-09-22T19:01:52.000Z","1582RPM","1869RPM","4153RPM","540RPM","1028RPM","32.00°C","63.50°C","30.00°C","36.00°C","41.00°C","1.11V","63.75°C","18%","1552RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1776RPM","27.50°C","119W","105W","88W","11.90V","5.00V","3.30V","5.50A","8.00A","0.00A","65W","40W","0W"
"2025-09-22T19:01:53.000Z","1582RPM","1869RPM","4153RPM","540RPM","1028RPM","32.00°C","63.50°C","30.00°C","36.00°C","41.00°C","1.11V","61.88°C","11%","1552RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1776RPM","27.50°C","119W","105W","88W","11.90V","5.00V","3.30V","5.50A","8.00A","0.00A","65W","40W","0W"
"2025-09-22T19:01:54.000Z","1582RPM","1869RPM","4153RPM","540RPM","1028RPM","32.00°C","63.50°C","30.00°C","36.00°C","41.00°C","1.11V","61.88°C","11%","1552RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1776RPM","27.50°C","139W","125W","90W","11.90V","5.00V","4.00V","4.50A","7.90A","7.90A","54W","40W","32W"
"2025-09-22T19:01:55.000Z","1582RPM","1869RPM","4153RPM","540RPM","1028RPM","32.00°C","63.50°C","30.00°C","36.00°C","41.00°C","1.11V","57.00°C","6%","1552RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1768RPM","27.50°C","107W","94W","87W","11.90V","5.00V","3.30V","4.50A","8.00A","0.00A","54W","40W","0W"
"2025-09-22T19:01:56.000Z","1530RPM","1800RPM","4166RPM","572RPM","1044RPM","32.00°C","53.00°C","30.00°C","36.00°C","41.00°C","1.27V","54.63°C","3%","1553RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1768RPM","27.50°C","107W","94W","87W","11.90V","5.00V","3.30V","4.50A","8.00A","0.00A","54W","40W","0W"
"2025-09-22T19:01:57.000Z","1530RPM","1800RPM","4166RPM","572RPM","1044RPM","32.00°C","53.00°C","30.00°C","36.00°C","41.00°C","1.27V","54.63°C","3%","1553RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1784RPM","27.50°C","107W","94W","87W","11.90V","5.00V","3.30V","4.50A","8.00A","0.00A","54W","40W","0W"
"2025-09-22T19:01:58.000Z","1530RPM","1800RPM","4166RPM","572RPM","1044RPM","32.00°C","53.00°C","30.00°C","36.00°C","41.00°C","1.27V","50.88°C","4%","1553RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1760RPM","27.50°C","107W","94W","87W","11.90V","5.00V","3.30V","4.50A","8.00A","0.00A","54W","40W","0W"
"2025-09-22T19:01:59.000Z","1530RPM","1800RPM","4166RPM","572RPM","1044RPM","32.00°C","53.00°C","30.00°C","36.00°C","41.00°C","1.27V","49.38°C","4%","1553RPM","34.00°C","30.00°C","24.00°C","0%","10%","0%","37.00°C","40.00°C","0%","0%","0%","1760RPM","27.50°C","107W","94W","87W","11.90V","5.00V","3.30V","4.50A","8.00A","0.00A","54W","40W","0W"
