"Timestamp","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
"2025-09-21T19:45:47.000Z","1792RPM","32.00°C","132W","118W","89W","11.90V","5.00V","3.30V","6.50A","8.10A","0.00A","77W","41W","0W"
"2025-09-21T19:45:48.000Z","1792RPM","32.00°C","132W","118W","89W","11.90V","5.00V","3.30V","6.50A","8.10A","0.00A","77W","41W","0W"
"2025-09-21T19:45:49.000Z","1792RPM","32.00°C","153W","138W","90W","11.90V","5.10V","3.30V","8.00A","8.40A","0.00A","95W","43W","0W"
"2025-09-21T19:45:50.000Z","1800RPM","31.50°C","121W","107W","89W","11.90V","5.10V","3.30V","5.50A","8.10A","0.00A","65W","41W","0W"
"2025-09-21T19:45:52.000Z","1800RPM","31.50°C","121W","107W","89W","11.90V","5.10V","3.30V","5.50A","8.10A","0.00A","65W","41W","0W"
"2025-09-21T19:45:52.000Z","1792RPM","31.50°C","140W","126W","90W","11.90V","5.10V","3.30V","7.00A","8.30A","0.00A","83W","42W","0W"
"2025-09-21T19:45:53.000Z","1792RPM","31.50°C","127W","113W","89W","11.90V","5.10V","3.30V","6.00A","8.10A","0.00A","71W","41W","0W"
