"Timestamp","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
"2025-09-22T14:40:51.000Z","1776RPM","31.50°C","122W","108W","89W","11.90V","5.10V","3.30V","5.50A","8.40A","0.00A","65W","43W","0W"
"2025-09-22T14:40:52.000Z","1776RPM","31.50°C","122W","108W","89W","11.90V","5.10V","3.30V","5.50A","8.40A","0.00A","65W","43W","0W"
"2025-09-22T14:40:53.000Z","1808RPM","31.50°C","165W","150W","91W","11.90V","5.00V","3.30V","9.00A","8.50A","0.00A","107W","43W","0W"
"2025-09-22T14:40:54.000Z","1776RPM","31.50°C","165W","149W","91W","11.90V","5.10V","3.30V","9.00A","8.30A","0.00A","107W","42W","0W"
"2025-09-22T14:40:55.000Z","1776RPM","31.50°C","165W","149W","91W","11.90V","5.10V","3.30V","9.00A","8.30A","0.00A","107W","42W","0W"
"2025-09-22T14:40:57.000Z","1800RPM","31.50°C","139W","125W","90W","11.90V","5.10V","3.30V","7.00A","8.10A","0.00A","83W","41W","0W"
"2025-09-22T14:40:57.000Z","1800RPM","31.50°C","141W","126W","90W","11.90V","5.10V","3.30V","7.00A","8.40A","0.00A","83W","43W","0W"
"2025-09-22T14:40:58.000Z","1800RPM","31.50°C","141W","126W","90W","11.90V","5.10V","3.30V","7.00A","8.40A","0.00A","83W","43W","0W"
