Timestamp,"MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB VCPU","CPU Package","CPU Load","GPU #1 Fan","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Temp #3","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
21/9/2025 19:26:19 PM,1234RPM,1664RPM,4166RPM,704RPM,1053RPM,35.00°C,48.00°C,36.00°C,41.00°C,45.00°C,1.24V,57.38°C,15%,1573RPM,34.00°C,29.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1784RPM,29.00°C,113W,99W,88W,11.90V,5.00V,3.30V,5.00A,7.90A,0.00A,60W,40W,0W
21/9/2025 19:26:21 PM,1448RPM,1528RPM,4141RPM,542RPM,1052RPM,35.00°C,45.00°C,36.00°C,41.00°C,45.00°C,1.24V,45.50°C,6%,1555RPM,34.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1784RPM,29.00°C,107W,93W,87W,11.90V,5.00V,3.30V,4.50A,7.90A,0.00A,54W,40W,0W
21/9/2025 19:26:23 PM,1448RPM,1528RPM,4141RPM,542RPM,1052RPM,35.00°C,45.00°C,36.00°C,41.00°C,45.00°C,1.24V,45.50°C,6%,1555RPM,34.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1768RPM,29.00°C,107W,93W,87W,11.90V,5.00V,3.30V,4.50A,7.90A,0.00A,54W,40W,0W
21/9/2025 19:26:25 PM,1448RPM,1528RPM,4141RPM,542RPM,1052RPM,35.00°C,45.00°C,36.00°C,41.00°C,45.00°C,1.24V,45.50°C,6%,1555RPM,34.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1768RPM,29.00°C,113W,99W,88W,11.90V,5.00V,3.30V,5.00A,7.90A,0.00A,60W,40W,0W
21/9/2025 19:26:27 PM,1448RPM,1528RPM,4141RPM,542RPM,1052RPM,35.00°C,45.00°C,36.00°C,41.00°C,45.00°C,1.24V,45.50°C,6%,1555RPM,34.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1768RPM,29.00°C,107W,94W,87W,11.90V,5.10V,3.30V,4.50A,7.90A,0.00A,54W,40W,0W
21/9/2025 19:26:29 PM,1448RPM,1528RPM,4141RPM,542RPM,1052RPM,35.00°C,45.00°C,36.00°C,41.00°C,45.00°C,1.24V,46.63°C,12%,1555RPM,34.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1792RPM,29.00°C,72W,60W,82W,11.90V,39.00V,3.30V,5.00A,0.00A,0.00A,60W,0W,0W
21/9/2025 19:26:31 PM,1448RPM,1528RPM,4141RPM,542RPM,1052RPM,35.00°C,45.00°C,36.00°C,41.00°C,45.00°C,1.24V,46.63°C,12%,1555RPM,34.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1792RPM,29.00°C,126W,112W,89W,11.90V,5.10V,3.30V,6.00A,8.00A,0.00A,71W,41W,0W
21/9/2025 19:26:33 PM,1448RPM,1528RPM,4141RPM,542RPM,1052RPM,35.00°C,45.00°C,36.00°C,41.00°C,45.00°C,1.24V,46.63°C,12%,1555RPM,34.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1776RPM,29.00°C,125W,111W,89W,11.90V,5.00V,3.30V,6.00A,8.00A,0.00A,71W,40W,0W
21/9/2025 19:26:35 PM,1288RPM,1350RPM,4141RPM,531RPM,1036RPM,35.00°C,47.00°C,36.00°C,41.00°C,45.00°C,1.25V,46.50°C,8%,1557RPM,36.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1776RPM,29.00°C,263W,245W,93W,11.90V,5.00V,230.00V,5.00A,37.00A,0.00A,60W,185W,0W
21/9/2025 19:26:37 PM,1288RPM,1350RPM,4141RPM,531RPM,1036RPM,35.00°C,47.00°C,36.00°C,41.00°C,45.00°C,1.25V,46.50°C,8%,1557RPM,36.00°C,30.00°C,24.00°C,0%,15%,0%,37.00°C,40.00°C,0%,0%,0%,1776RPM,29.00°C,106W,93W,87W,11.90V,5.00V,3.30V,4.50A,7.80A,0.00A,54W,39W,0W
