"Timestamp","MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB VCPU","CPU Package","CPU Load","GPU #1 Fan","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Temp #3","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
"2025-09-21T19:40:05.000Z","1285RPM","1415RPM","4128RPM","539RPM","1053RPM","36.00°C","63.50°C","37.00°C","41.80°C","46.00°C","1.38V","65.25°C","11%","1560RPM","34.00°C","30.00°C","24.00°C","6%","12%","0%","37.00°C","40.00°C","0%","0%","0%","1792RPM","29.50°C","125W","111W","89W","11.90V","5.00V","3.30V","6.00A","7.90A","0.00A","71W","40W","0W"
"2025-09-21T19:40:06.000Z","1285RPM","1415RPM","4128RPM","539RPM","1053RPM","36.00°C","63.50°C","37.00°C","41.80°C","46.00°C","1.38V","65.25°C","11%","1560RPM","34.00°C","30.00°C","24.00°C","6%","12%","0%","37.00°C","40.00°C","0%","0%","0%","1792RPM","29.50°C","125W","111W","89W","11.90V","5.00V","3.30V","6.00A","7.90A","0.00A","71W","40W","0W"
"2025-09-21T19:40:07.000Z","1095RPM","1094RPM","4115RPM","535RPM","1048RPM","36.00°C","63.00°C","37.00°C","41.80°C","46.00°C","1.30V","63.25°C","10%","1582RPM","34.00°C","30.00°C","25.00°C","2%","13%","0%","37.00°C","41.00°C","0%","0%","0%","1792RPM","29.50°C","115W","101W","88W","11.90V","5.10V","3.30V","5.00A","8.10A","0.00A","60W","41W","0W"
"2025-09-21T19:40:08.000Z","1095RPM","1094RPM","4115RPM","535RPM","1048RPM","36.00°C","63.00°C","37.00°C","41.80°C","46.00°C","1.30V","63.25°C","13%","1582RPM","34.00°C","30.00°C","25.00°C","2%","13%","0%","37.00°C","41.00°C","0%","0%","0%","1792RPM","29.50°C","116W","101W","87W","11.90V","5.10V","3.30V","5.00A","8.10A","0.00A","60W","41W","0W"
"2025-09-21T19:40:09.000Z","1095RPM","1094RPM","4115RPM","535RPM","1048RPM","36.00°C","63.00°C","37.00°C","41.80°C","46.00°C","1.30V","63.75°C","12%","1582RPM","34.00°C","30.00°C","25.00°C","2%","13%","0%","37.00°C","41.00°C","0%","0%","0%","1792RPM","29.50°C","116W","101W","87W","11.90V","5.10V","3.30V","5.00A","8.10A","0.00A","60W","41W","0W"
"2025-09-21T19:40:10.000Z","1095RPM","1094RPM","4115RPM","535RPM","1048RPM","36.00°C","63.00°C","37.00°C","41.80°C","46.00°C","1.30V","63.75°C","12%","1582RPM","34.00°C","30.00°C","25.00°C","2%","13%","0%","37.00°C","41.00°C","0%","0%","0%","1776RPM","29.50°C","119W","105W","88W","11.90V","5.00V","3.30V","5.50A","8.00A","0.00A","65W","40W","0W"
"2025-09-21T19:40:11.000Z","1087RPM","1100RPM","4128RPM","532RPM","1031RPM","36.00°C","63.00°C","37.00°C","41.80°C","46.00°C","1.38V","63.13°C","12%","1580RPM","34.00°C","30.00°C","24.00°C","0%","12%","0%","38.00°C","41.00°C","0%","0%","0%","96RPM","29.50°C","119W","105W","88W","11.90V","5.00V","3.30V","5.50A","8.00A","0.00A","65W","40W","0W"
"2025-09-21T19:40:12.000Z","1087RPM","1100RPM","4128RPM","532RPM","1031RPM","36.00°C","63.00°C","37.00°C","41.80°C","46.00°C","1.38V","66.13°C","10%","1580RPM","34.00°C","30.00°C","24.00°C","0%","12%","0%","38.00°C","41.00°C","0%","0%","0%","96RPM","29.50°C","119W","105W","88W","11.90V","5.00V","3.30V","5.50A","8.00A","0.00A","65W","40W","0W"
"2025-09-21T19:40:13.000Z","1087RPM","1100RPM","4128RPM","532RPM","1031RPM","36.00°C","63.00°C","37.00°C","41.80°C","46.00°C","1.38V","66.13°C","10%","1580RPM","34.00°C","30.00°C","24.00°C","0%","12%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","29.50°C","138W","124W","90W","11.90V","5.00V","3.30V","7.00A","8.10A","0.00A","83W","41W","0W"
"2025-09-21T19:40:14.000Z","1087RPM","1100RPM","4128RPM","532RPM","1031RPM","36.00°C","63.00°C","37.00°C","41.80°C","46.00°C","1.38V","64.75°C","14%","1580RPM","34.00°C","30.00°C","24.00°C","0%","12%","0%","38.00°C","41.00°C","0%","0%","0%","140RPM","70.00°C","2114W","1850W","88W","8.00V","8.30V","0.00V","140.00A","88.00A","42.00A","1120W","730W","0W"
