"Timestamp","MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB VCPU","CPU Package","CPU Load","GPU #1 Fan","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Temp #3","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
"2025-09-22T14:15:53.000Z","1088RPM","1097RPM","4153RPM","532RPM","1031RPM","35.00°C","62.50°C","36.00°C","41.00°C","45.00°C","1.34V","63.13°C","11%","1579RPM","36.00°C","30.00°C","24.00°C","0%","13%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","29.00°C","78W","65W","84W","11.90V","1.00V","3.30V","5.50A","0.00A","0.00A","65W","0W","0W"
"2025-09-22T14:15:54.000Z","1088RPM","1097RPM","4153RPM","532RPM","1031RPM","35.00°C","62.50°C","36.00°C","41.00°C","45.00°C","1.34V","63.13°C","11%","1579RPM","36.00°C","30.00°C","24.00°C","0%","13%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","29.00°C","78W","65W","84W","11.90V","1.00V","3.30V","5.50A","0.00A","0.00A","65W","0W","0W"
"2025-09-22T14:15:55.000Z","1106RPM","1096RPM","4128RPM","525RPM","1046RPM","35.00°C","63.50°C","36.00°C","41.00°C","45.00°C","1.19V","63.88°C","10%","1580RPM","36.00°C","30.00°C","24.00°C","15%","13%","0%","37.00°C","40.00°C","0%","0%","0%","1768RPM","29.00°C","125W","111W","89W","11.90V","5.00V","3.30V","6.00A","8.00A","0.00A","71W","40W","0W"
"2025-09-22T14:15:56.000Z","1106RPM","1096RPM","4128RPM","525RPM","1046RPM","35.00°C","63.50°C","36.00°C","41.00°C","45.00°C","1.19V","62.63°C","13%","1580RPM","36.00°C","30.00°C","24.00°C","15%","13%","0%","37.00°C","40.00°C","0%","0%","0%","1792RPM","29.00°C","90W","77W","86W","11.90V","0.00V","3.30V","6.50A","64.50A","0.00A","77W","0W","0W"
"2025-09-22T14:15:57.000Z","1106RPM","1096RPM","4128RPM","525RPM","1046RPM","35.00°C","63.50°C","36.00°C","41.00°C","45.00°C","1.19V","62.63°C","13%","1580RPM","36.00°C","30.00°C","24.00°C","15%","13%","0%","37.00°C","40.00°C","0%","0%","0%","1792RPM","29.00°C","90W","77W","86W","11.90V","0.00V","3.30V","6.50A","64.50A","0.00A","77W","0W","0W"
"2025-09-22T14:15:58.000Z","1106RPM","1096RPM","4128RPM","525RPM","1046RPM","35.00°C","63.50°C","36.00°C","41.00°C","45.00°C","1.19V","62.38°C","15%","1580RPM","36.00°C","30.00°C","24.00°C","15%","13%","0%","37.00°C","40.00°C","0%","0%","0%","1792RPM","29.00°C","120W","106W","88W","11.90V","5.10V","3.30V","5.50A","8.00A","0.00A","65W","41W","0W"
"2025-09-22T14:15:59.000Z","1097RPM","1097RPM","4153RPM","574RPM","1028RPM","35.00°C","61.50°C","36.00°C","41.00°C","45.00°C","1.27V","61.63°C","12%","1578RPM","38.00°C","30.00°C","24.00°C","23%","12%","0%","38.00°C","41.00°C","0%","0%","0%","1792RPM","29.00°C","132W","118W","89W","11.90V","5.10V","3.30V","6.50A","8.00A","0.00A","77W","41W","0W"
"2025-09-22T14:16:00.000Z","1097RPM","1097RPM","4153RPM","574RPM","1028RPM","35.00°C","61.50°C","36.00°C","41.00°C","45.00°C","1.27V","61.63°C","12%","1578RPM","38.00°C","30.00°C","24.00°C","23%","12%","0%","38.00°C","41.00°C","0%","0%","0%","1792RPM","29.00°C","132W","118W","89W","11.90V","5.10V","3.30V","6.50A","8.00A","0.00A","77W","41W","0W"
"2025-09-22T14:16:01.000Z","1097RPM","1097RPM","4153RPM","574RPM","1028RPM","35.00°C","61.50°C","36.00°C","41.00°C","45.00°C","1.27V","61.75°C","14%","1578RPM","38.00°C","30.00°C","24.00°C","23%","12%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","29.00°C","125W","111W","89W","11.90V","5.00V","3.30V","6.00A","8.00A","0.00A","71W","40W","0W"
"2025-09-22T14:16:02.000Z","1097RPM","1097RPM","4153RPM","574RPM","1028RPM","35.00°C","61.50°C","36.00°C","41.00°C","45.00°C","1.27V","62.88°C","11%","1578RPM","38.00°C","30.00°C","24.00°C","23%","12%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","29.00°C","514W","480W","94W","11.90V","5.00V","3.30V","37.00A","8.00A","0.00A","440W","40W","0W"
